day,AAPL,AMZN,GOOGL,MSFT,TSLA,VOO,NVDA
3,131.44052,87.09951,87.68545,240.66345,114.83986,358.52103,140.7341
4,130.73293,88.57012,89.27974,239.44078,109.49427,358.5351,141.58366
5,130.03487,87.99503,88.75986,235.55629,107.30188,357.2636,141.55731
6,129.24974,85.85387,87.30297,230.80031,102.57836,357.79712,141.24896
9,130.0582,88.333115,87.185715,228.42462,109.945114,363.6067,144.14203
10,131.31148,89.38897,86.717224,228.5014,116.001495,362.8131,148.09062
11,132.42416,92.09875,87.60188,230.59624,118.03621,365.84006,152.04065
12,133.84508,97.301636,89.834114,233.9683,117.953705,369.96313,155.4919
13,134.25703,96.5158,90.98629,237.12093,113.49517,368.87064,158.19553
17,134.98344,98.95064,91.56638,239.22176,116.768776,371.9914,162.2109
18,136.37975,98.345146,91.863976,241.27812,126.313774,373.42413,168.30008
19,136.60649,95.88415,91.31313,240.14156,123.446014,366.74695,169.6206
20,136.61897,94.402176,92.892494,238.34422,121.657555,365.86087,168.84798
23,137.62611,97.09441,96.127106,239.16063,125.68052,370.68613,172.48404
24,139.50755,97.552666,98.05246,241.46397,132.68999,373.06656,179.21808
25,141.12999,94.20556,97.096176,240.7708,134.18144,371.10434,183.79762
26,142.71024,97.55504,96.313416,241.81291,147.42236,375.6637,189.08728
27,143.61235,99.69674,96.79335,245.3591,153.94635,377.33627,190.92293
30,144.56145,101.43074,97.56023,247.00282,167.5475,377.03036,193.31639
